17:02:25 [DEBUG] disk_inspector: Starting up
17:02:25 [DEBUG] disk_inspector: Getting disk info
17:02:25 [DEBUG] disk_inspector: 1 disks found
17:02:29 [DEBUG] disk_inspector: Disk is starting with 0 children
17:02:29 [DEBUG] disk_inspector: Reading all files
17:04:56 [DEBUG] disk_inspector: Counter above 100
17:04:56 [DEBUG] disk_inspector: Disk read reported complete
17:05:03 [DEBUG] disk_inspector::app: Disk read done
17:05:03 [DEBUG] disk_inspector::app: Disk read complete
17:05:03 [DEBUG] disk_inspector: Disk read thread complete
17:05:03 [DEBUG] disk_inspector: Disk is finishing with 30 children
17:05:03 [DEBUG] cursive::backend::curses::n: Unknown event: 00000000000000000000000000000100
17:05:03 [DEBUG] cursive::backend::curses::n: No event parsed?...
17:05:05 [DEBUG] disk_inspector: Beginning nav
17:05:05 [DEBUG] disk_inspector::inspector: Navigating /, with 30 children and 0 parents
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 15 }
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 15 }]
17:08:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 15 }
17:08:08 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray/Documents/rust
17:08:12 [DEBUG] disk_inspector::inspector: Selected /Users/ray/Documents/rust
17:08:12 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:08:12 [DEBUG] disk_inspector::inspector: Pre push
17:08:12 [DEBUG] disk_inspector::inspector: Post push
17:08:12 [DEBUG] disk_inspector::inspector: Navigating /Users/ray/Documents/rust, with 13 children and 4 parents
17:08:14 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:14 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:14 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:14 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:14 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:14 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:16 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:17 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:17 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:17 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:17 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:17 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:17 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:18 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:20 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:20 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:20 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:20 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:20 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:20 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 14 }
17:08:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 14 }]
17:08:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 14 }
17:08:22 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray/Documents/rust/rusty-cpu
17:08:26 [DEBUG] disk_inspector::inspector: Selected /Users/ray/Documents/rust/rusty-cpu
17:08:26 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:08:26 [DEBUG] disk_inspector::inspector: Pre push
17:08:26 [DEBUG] disk_inspector::inspector: Post push
17:08:26 [DEBUG] disk_inspector::inspector: Navigating /Users/ray/Documents/rust/rusty-cpu, with 7 children and 5 parents
17:08:28 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:28 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:28 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:28 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:28 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:29 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 8 }
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 8 }]
17:08:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 8 }
17:08:31 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray/Documents/rust/rusty-cpu/target
17:08:36 [DEBUG] disk_inspector::inspector: Selected /Users/ray/Documents/rust/rusty-cpu/target
17:08:36 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:08:36 [DEBUG] disk_inspector::inspector: Pre push
17:08:36 [DEBUG] disk_inspector::inspector: Post push
17:08:36 [DEBUG] disk_inspector::inspector: Navigating /Users/ray/Documents/rust/rusty-cpu/target, with 2 children and 6 parents
17:08:37 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:37 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:37 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:37 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 3 }
17:08:37 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:37 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:38 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:38 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:38 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:38 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 3 }
17:08:38 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:38 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:39 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:39 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:39 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:39 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 3 }
17:08:39 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 3 }]
17:08:39 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 3 }
17:08:39 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray/Documents/rust/rusty-cpu/target/debug
17:08:44 [DEBUG] disk_inspector::inspector: Selected /Users/ray/Documents/rust/rusty-cpu/target/debug
17:08:44 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:08:44 [DEBUG] disk_inspector::inspector: Pre push
17:08:44 [DEBUG] disk_inspector::inspector: Post push
17:08:44 [DEBUG] disk_inspector::inspector: Navigating /Users/ray/Documents/rust/rusty-cpu/target/debug, with 19 children and 7 parents
17:08:45 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:45 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:45 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:45 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:45 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:45 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:47 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:48 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:49 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 20 }]
17:08:50 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 20 }
17:08:50 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
